tweet,image_url,tweet_link
"JANGAN PANTANG MENYERAH 

Kami sebagai Warga Negara Indonesia DENGAN TEGAS menolak Revisi Undang-Undang Tentara Nasional Indonesia (RUU TNI)

#TolakRUUTNI
#TolakRevisiUUTNI
#PeringatanDarurat 
#IndonesiaGelap
#TolakDwifungsiABRI",https://pbs.twimg.com/media/Gmep1DxbgAE198c?format=jpg&name=900x900,https://x.com/rahmdess27
"Dengan ini, udah punya 8 majalah Tempo. Kemarin beli karena bener-bener mau tau Politik Jokowi, RUU TNI, Danantara, sama Mafia Pertamina. Of course skrg akan beli lagi buat ngikuti Judol. Sehat-sehat Tempo, maaf baru bisa mendukung dengan ini.",https://pbs.twimg.com/media/Gn2K0cybYAA3ttE?format=jpg&name=large,https://x.com/tengamalam
"RUU TNI menegaskan: prajurit TNI tetap dilarang berbisnis & berpolitik. Pemerintah dan DPR RI sepakat menjaga netralitas dan profesionalisme TNI. Fokus utama tetap pada tugas negara, bukan kepentingan pribadi.
#RUUTNI
#UUTNI
#DukungUUTNI
#ManfaatUUTNI",,https://x.com/Nan4_ecia
"terserah kalau mau bilang sdm rendah tapi faktanya masyarakat kecil yg lebih tau dedikasi TNI hingga ke pelosok daerah. Like, komen, share dan tunjukkan bahwa rakyat mendukung UU TNI! #revisiruutni #uutni #dukunguutni #tnibersamarakyat #TNIProfesional #RUUTNI",https://pbs.twimg.com/media/GncTJMragAAtrQo?format=jpg&name=small,https://x.com/ruangantihoax
"Gue pribadi juga tdk setuju RUU TNI, tapi bukan berarti gue ikut2an agenda mereka. Lihat aja isi TL nya. Siapa mereka ini & apa (hiden) agenda mereka.",https://pbs.twimg.com/media/GnmjqYCaMAE6nmZ?format=jpg&name=small,https://x.com/frans_surya
Lapor ke org2 yg bikin dan menyetujui RUU TNI?,,https://x.com/Araran234
" Guys maaf banget, aku mau tanya. Efek ruu TNI bagi rakyat desa/ekonomi menengah kebawah tuh apa? Soalnya aku tinggal di desa dan ada gak ada tuh UU gak ada bedanya. Kalau efeknya di kota gitu aku udah lihat sberapa parah. Tapi disini kayak gak ada apa-apa..",,https://x.com/tanyakanrl
"Waspada RUU pilkada menggolkan pilkada tdk langsung.

Setelah berhasil menggagalkan upaya kubu Prabowo TNI masuk ke semua kementerian dan lembaga, satu lagi yg sdng diperjuangkan mba Puan dan PDIP, menggagalkan upaya kubu Prabowo pilkada tidak langsung.

RUU TNI dari Baleg ke",,https://x.com/ch_chotimah2
"UU TNI sudah disahkan, RUU Polri sedang digodok, biasanya mba Nana 
@NajwaShihab
 selalu yg terdepan berkata lantang...

Kini sepi tak ada ucapan, jadi teringat ancaman yg dulu pernah datang, apakah kini kembali menerjang?

Hanya bisa berdoa, semoga Nana baik-baik saja..",,https://x.com/toe_giman
"Saat Prabowo ditanya apa Urgensinya UU TNI, RUU Polri & RUU Kejaksaan

Jawabannya;
Ha Hi Hu He Ho..
Muter2 kayak Gasing..!!

Lalu gmn Rakyat bisa percaya bahwa RUU Polri & RUU Kejaksaan tdk bermasalah. Klw cara menjawabnya aja uda Mblutet gtu",,https://x.com/AirinDatangLagi
