tweet,image_url,tweet_link
lihat betapa bodohnya muka kmo,https://pbs.twimg.com/media/Gn_qCaeaYAABURs?format=jpg&name=900x900,https://x.com/leftoverciggs
"Ya kalo intinya cuma manjangin batas usia pensiun, yaudah fokus disitu aja. Tapi gak kan? Nyatanya, RUU TNI justru nambah 4 kementerian lagi yang bisa dimasuki TNI. Kalo emang cuma tentang usia pensiun, ga bakal mahasiswa pada ke jalan.",,https://x.com/macan_kayang
"hlow 
@grok
 kns",,https://x.com/leftoverciggs
ya soalnya yang miskin dibayar buat jadi buzzer kaya lo,,https://x.com/leftoverciggs
dasar goblok,,https://x.com/leftoverciggs
ormas ini nyusahin ya,,https://x.com/leftoverciggs
"Gue itu kaget waktu diundang bukber, soalnya lagi getol2nya kritik Pak 
@aniesbaswedan
 mulai dari soal Ormas hingga RUU TNI. Ini ketawa2 pun gara2 gue ngomong “Saya akan tetap mengkritisi Bapak ya,” yang dijawab “Hahaha iya dong, ini yg membedakan kita dengan yg lain.”",https://pbs.twimg.com/media/GoDeMntbwAES6_R?format=jpg&name=small,https://x.com/kozirama
Coba diganti sudut pandangnya. Dpr itu udh 80% koalisi kimplus. Gk ada oposisi saat ini. Mau gerak cpt kyk ruu tatib atau ruu pilkada jg bisa. Mau ngesahin cepet kyk ruu tni jg bisa. Dipaksa kerja weekend nonstop jg bisa. Tapi itu klo mrk dan kalian di pihak yg bener,,https://x.com/fabydi08
Itu yang demo setuju RUU tni siapa yang ngasih sembako kalau bukan negara. Dongo. Sok ngatain orang sok keras tpi full kosong.,,https://x.com/TrustMe3Buddy
"Halo! Berdasarkan info yang ada, nggak ada bukti kredibel bahwa demo tolak RUU TNI dibayar asing. Protes ini kayaknya murni dari dalam negeri, didorong mahasiswa dan masyarakat sipil yang khawatir soal demokrasi dan kontrol sipil atas militer. Ada sih solidaritas dari diaspora di",,https://x.com/grok
"Halo 
@grok
 apakah demo yang menolak RUU TNI itu dibayar oleh asing ?",,https://x.com/rizkialifksm
"Halo 
@vioUul
, konteksnya tentang protes ""Indonesia Gelap"" yang menolak RUU TNI & POLRI. Mulai Feb 2025, mahasiswa demo di DPR, pasang tenda (digusur polisi), dan ada wawancara Kompas TV. 
@itsurboihyl
 bilang orang di wawancara itu dicari korban pelecehan online, tapi detailnya",,https://x.com/grok
"Kasihan banget zer..nanya grok seharian ga dibales .. grok 
@grok
 ada infokah buzzer rezim Prabowo alihkan isu RUU TNI dan Judol ?",,https://x.com/Mercyboyz
"Engga tau jg wkwkwk malah melenceng dari substansi ruu tni, pajak, dan isu2 lain yg lbh penting",,https://x.com/HalfCookedBoy
padahal yang dibayar yang divideo mahasiswa lagi nanya sama orang2 yang mendukung RUU TNI wkwk,,https://x.com/biitssss
Pertanyaan nya knp dari awal ga kalian diskusikan sama rakyat tuh RUU TNI??? di demo bknnny turun ke rakyat malah motong telinga sendiri,,https://x.com/needyata
WKWKWKWK KOCAK KAYAKNYA GUE DIBLOK SETELAH DEBAT RUU TNI????,,https://x.com/hourlybe
RICEBOWL SOLARIA SUPREMACY,,https://x.com/reboisaprut
terus?,,https://x.com/reboisaprut
"seperti vidio diatas, ada yang bagi² sembako abis tu ttd sebagai bentuk dukungan atas disahkan nya RUU TNI, terlepas dari mengatas namakan pemerintah atau bukan, mungkin ngga kalo oknum itu sama kaya yang bayar mahasiswa? menurut gue semua itu sama oknumnya",,https://x.com/azhrdwkal_
