tweet,image_url,tweet_link
...nah ini yg gw sdh perkirakan kalau ruu ini sangat2 jauh lebih berbahaya dari ruu tni...judulnya demokrasi tp faktanya jd sistim pemerintahan otokratis...,,https://x.com/M4ngU5il
"ternyata hidup emang setiba-tiba itu anjir. tiba-tiba RUU TNI SAH, tiba-tiba gua juga diselingkuhin ke sekian kalinya AKHH MANTAP",,https://x.com/neubiwaa
"List alasan pwr dinotice
- ibu2 nyekel spanduk dukung ruu tni
- pasar kentu
- (new) dawet jembut kecabut",,https://x.com/_defly_
"Ahhh gw pernah debat sama orang di tiktok perkara RUU TNI. Dia juga bilang RUU-nya ga salah, tapi orangnya. 

Gw baru paham ternyata ada kesamaan. Sama sama munafik dan denial",,https://x.com/idamanibuu
"Cobain dirumah, rebahan sambil hafalin RUU TNI bg...",,https://x.com/Bimmz_
Gibran tolol,https://pbs.twimg.com/media/Go9Mc0haIAArt5N?format=jpg&name=medium,https://x.com/rickyluvez
Alah gak heran klo tbtb besok pap selca bareng,,https://x.com/ghinatory
sampe gatau mau ngeluhin bagian mana dulu,,https://x.com/reboisaprut
kalo ada kata lain di atas REMUK REDAM itulah badan gw sekarang,,https://x.com/reboisaprut
"anjir 2025, rupiah melemah, ruu tni diteken, suhu panas dan klen masi ributin masalah rp? ",https://pbs.twimg.com/media/Go8hj0TbgAAWYJm?format=jpg&name=900x900,https://x.com/alhaidam
"Bikin bruntusan jir di gua, ada yang sama gak? Apa kalian cocok-cocok aja?",https://pbs.twimg.com/media/Go_X27iasAAv7j9?format=jpg&name=900x900,https://x.com/i/communities/1623378788569726977
WKAKAKAKAKAKA NGAKAK BGT ANJJIRRRRR tpi jujur gua kepikiran gitu juga... hunting kating di selasar faperta  it's on sight,,https://x.com/zahrapepesikan
"ALASAN KENAPA HIDUP LO STRES:

1. WNI
2. Pemerintah lu #Civilphobia dan presidennya bagian dari pelaku kejahatan HAM
3. Mantan presiden lu masih suka berperan di masa pemerintahan yg baru
4. RUU TNI disahin mendadak tanpa pelibatan sipil
5. UU Polri dan KUHAP mau direvisi",,https://x.com/txtdarimaskael5
life after ruu tni,https://pbs.twimg.com/media/Go52UFjXsAAZCbT?format=jpg&name=900x900,https://x.com/cupcipacap
woww mostly yaa kayak na,,https://x.com/alearnerisa
is he sleep with heavy heart? (syit my ga enakan mind comes out),,https://x.com/alearnerisa
"so, aku ditinggal tidur nie?",,https://x.com/alearnerisa
eh kalian udah pada graduate ya gusy? aku insyaallah juni woww,,https://x.com/alearnerisa
wajar ga kalau ak marah dgn kelakuan org yg bikin boundaries ku ancur?,,https://x.com/alearnerisa
kalo lewat tl say hi dong moots! btw gutnaitt yap,,https://x.com/alearnerisa
"3 hari kemarin, kita digegerkan dengan adanya presiden mengesahkan RUU TNI, oleh karena itu, sebagai massa himpunan ini ...

https://instagram.com/p/DIq3-34Sd7g/?igsh=azZkNjd2ejJ5dm9m…

Kami membuat Kajian mengenai bagaimana potensi pengesahan ini dapat membuat sejarah kelam kembali terulang. Big shootout to it.",,https://x.com/anuragabpp1
"He even double down by agreeing to RUU TNI, the reason was better be RUU TNI rather than RUU POLRI",,https://x.com/DidiAnanto
"RUU ini tetap mengedepankan supremasi sipil. Peran TNI dalam jabatan sipil akan diatur dan diawasi secara ketat, bukan seperti yang dibayangkan oleh pihak yang menolak tanpa membaca keseluruhan isi revisi UU ini",,https://x.com/joshuaandrian44
"it's been so long since- kapan ya, pokoknya pas ruu tni, sorry ya guys gua ga on samsek, kerjaan makin lama makin makin dah buset",,https://x.com/accyapping
"iya, mau menumpang aksi buruh 1 Mei.jangan2 nanti ada spanduk tulisannya tolak RUU TNI, cabut UU TNI, Indonesia gelap, Adili Jokowi dkk. Karena massa sendiri mulai habis tidak tersisa tinggal 1-2 ngemper di pinggir jalan cari donasim",,https://x.com/tekarok007
"Yes, there's little what digital activitism has achieved, the ones i can considered successful is the ones preventing Kaesang into DKI's election (which some suspect has elites backing too).

The others? RUU TNI, VAT increase and others is not effective.",,https://x.com/EchoEch04553007
"minus ruu tni, cabut!!!",,https://x.com/impresifra
Wihh udh jd wanita karier nih,,https://x.com/winnnathepooh
Gengsi segedhe tata surya,,https://x.com/winnnathepooh
jangan2 ini dibalik ruu tni,,https://x.com/Kmdopa
,,https://x.com/brotovvali
Gak omongin RUU TNI?,,https://x.com/AdamMahendraLFC
Tapi di tuntutannya ga ada penolakan mengenai ruu tni ,,https://x.com/kifly_69
Berani ga ngomong gini kalo yang pake jalurnya truk tentara kaya waktu pas demo ruu tni?,,https://x.com/kifly_69
"Apa benar sorang prabowo tidak tau soal pelonakan RUU TNI?? BISA JADI, KARNA DI SETIAP ACARA PUNYA ACARA !!!",,https://x.com/FloristSen52272
"namun, akan berabe jika blakblakan blamming negara langsung....",,https://x.com/brotovvali
"selama tak eksplanatif latar belakang dan apa serta siapa yg mendesain pokok permasalahan, ya akan menggantung dan mengawang sih interpretasinya. salah satunya fetisisasi ini. seperti halnya the act of killing",,https://x.com/brotovvali
"Instagram ini 50:50 netizennya, ada yg waras dan goblok, ada yg pro dan kontra. Saat masalah tolak ruu tni aja pada saling debat, sampai scroll panjang² utk lihat reply 1 komentar aja. Jgn samakan dgn netizen tiktok",,https://x.com/Gozen2019
