tweet,image_url,tweet_link
"PARA ATINY, DIDIKAN CAPTAIN HONGJOONG PASTI PINTER-PINTER. SEKARANG WAKTUNYA TUNJUKIN ITU!!!

RUU TNI bakal nempel di hidup kita lama banget. ayo kerahkan suara, speak up, tolak RUU TNI.

#TolakRUUTNI
#TolakRevisiUUTNI
#PeringatanDarurat 
#IndonesiaGelap",https://pbs.twimg.com/media/GmdrWG3asAAQc46?format=jpg&name=360x360,https://x.com/woosanpride
"RUU TNI resmi disahkan, dengan riuh gemuruh dan tawa di dalam Senayan.

Sementara rakyatnya berteriak lantang menolak, terpisahkan oleh pagar beton dan 5000 lebih prajurit yang tidak berpihak pada rakyat.",,https://x.com/tilehopper
Made Supriatma atau yang lebih akrab kita panggil Bli Made menjelaskan kenapa RUU (sekarang sudah menjadi UU) TNI perlu ditolak. Ia menjelaskan secara rinci dari sudut pandang sejarah institusi TNI; bagaimana dwi fungsi TNI dari orde baru hingga saat ini dan kegagalannya paska,,https://x.com/YLBHI
"Kalo nih RUU TNI beneran lolos kali ini, serius dah we’re finished. Selain kewenangannya yang meluas, bakal ada gejolak di ranah siber. Bisa diliat dari slide kemampuan dan kekurangan SATSIBER TNI di bawah ini 

Yuk kawal bareng-bareng jangan sampe lolos! ",https://pbs.twimg.com/media/GmYAdshakAA6i6A?format=jpg&name=small,https://x.com/safenetvoice
"Gue mau jual ini 50k/item pengiriman dari Bandung. 

BB 75kg
TB 170cm

no nego dan ongkir flat 20k!",https://pbs.twimg.com/media/Go8BhtZbcAAnqj1?format=jpg&name=900x900,https://x.com/i/communities/1563431385679167495
"UU TNI mengancam Demokrasi !

UU TNI membuka Jalan 
Militer berkuasa lagi ..?

Tolak UU TNI 
Tolak RUU Kejaksaan 
Tolak RUU Polri 

Jumat UTBK  Kawan Fufufafa",,https://x.com/Ghurem2
"Hallo #sahabatTNI
 
Tahukah anda tentang RUU TNI yang baru disahkan. Apa saja poin-poin penting yang mengalami perubahan? mari kita pahami bersama.

Revisi UU TNI tetap menghormati dan dalam kerangka supremasi sipil, berdasarkan nilai dan prinsip demokrasi serta memenuhi",https://pbs.twimg.com/media/Gmu-e4wbwAAdica?format=jpg&name=small,https://x.com/Puspen_TNI
"Ketika rakyat yg selama ini memberi kalian makan dan kehidupan layak menuntut RUU TNI dibatalkan, malah kalian balas dgn todongan senjata api.
Apa kalian punya rencana utk menghabisi massa yg menolak RUU TNI??
Kalian sungguh Keji!!!
#CabutRUUTNI
#TolakRUUPolri
#TolakRUUKejaksan",,https://x.com/vita_AVP
"Mengesahkan RUU TNI tanpa melibatkan masyarakat adalah bentuk arogansi yang mematikan demokrasi. Seharusnya pengawasannya yang lebih dikedepankan, bukan wewenang yang absolut.
---
Megawati WHO IN BOYNEXTDOOR  Giselle Sunda WHO IN iKON Jaemin",,https://x.com/_riverheaven
"GERAKAN RAKYAT #TolakRUUTNI !

Pengesahan RUU TNI oleh DPR RI adalah ancaman bagi demokrasi dan supremasi sipil! Kami, Gerakan Rakyat, dengan tegas MENOLAK aturan yang membuka celah kembalinya dwifungsi TNI dan mengancam hak-hak rakyat.",https://pbs.twimg.com/media/GmfKcYbaYAAvNGN?format=jpg&name=small,https://x.com/gerakanrakyatid
